date,company,position,location,tags,remote,experience_level,experience_years,english_level,url
2026-02-09T21:06:10.817479,Postulado,Backend Engineer,,"python, sql, cloud, aws, react, node, support, software, backend, frontend",True,,3,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-backend-engineer-bilingue-ingles-en-bogota-dc-5A465D8B09D394D061373E686DCF3405#lc=ListOffers-Score3-7
2026-02-09T21:06:13.820649,Empleo destacado,Technology Teacher,Postulado,software,False,,2,required,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-technology-teacher-docente-de-tecnologia-y-robotica-en-bogota-dc-2AF8845FC95A9C1061373E686DCF3405#lc=ListOffers-Score3-8
2026-02-09T21:06:16.590345,Empleo destacado,Associate Technical Support Engineer,Postulado,"java, sql, support, software",True,,,required,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-associate-technical-support-engineer-advanced-english-level-en-bogota-dc-A6B37780F1EFC2D661373E686DCF3405#lc=ListOffers-Score3-9
2026-02-09T21:06:19.262129,Postulado,Líder DevOps y QA,,"python, cloud, aws, azure, docker, kubernetes, software",False,,5,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-lider-devops-y-qa-floridablanca-en-bucaramanga-43C23F739607DC9561373E686DCF3405#lc=ListOffers-Score3-10
2026-02-09T21:06:22.536609,Postulado,Desarrollador React / .Net,,"java, kubernetes, react, software, backend, frontend",True,,7,required,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-react-net-bilingue-en-bogota-dc-6FE8B678D7A248BE61373E686DCF3405#lc=ListOffers-Score3-11
2026-02-09T21:06:26.093085,Postulado,Lead DevOps Engineer,,"python, cloud, aws, software, backend",True,manager,5,required,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-lead-devops-engineer-remote-usd-payment-expert-in-aws-and-terraform-en-bogota-dc-FD1D7F6E8EC690FC61373E686DCF3405#lc=ListOffers-Score3-12
2026-02-09T21:06:29.730546,Postulado,Backend Engineer,,"python, sql, cloud, aws, react, node, support, software, backend, frontend",True,,,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-backend-engineer-en-bogota-dc-A25815AE1BC588DE61373E686DCF3405#lc=ListOffers-Score3-13
2026-02-09T21:06:32.680391,Se precisa Urgente,Senior Machine Learning Engineer,Empleo destacado,"python, sql, cloud, azure, security, support, software",True,senior,5,required,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-senior-machine-learning-engineer-remote-en-bogota-dc-82C27D42E351E27861373E686DCF3405#lc=ListOffers-Score3-14
2026-02-09T21:06:35.614257,Se precisa Urgente,qa engineer,Empleo destacado,"java, docker, node, software",True,,2,required,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-qa-engineer-cypress-k6-automation-en-medellin-286F2662994F51DD61373E686DCF3405#lc=ListOffers-Score3-15
2026-02-09T21:06:38.518113,Postulado,Ingeniero de Homologación (Test Engineer),,software,False,,2,required,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-homologacion-test-engineer-en-bogota-dc-F55702CA5CCD183C61373E686DCF3405#lc=ListOffers-Score3-16
2026-02-09T21:06:41.219563,Se precisa Urgente,Desarrollador/a Fullstack Java y Angular,Postulado,"java, sql, aws, node, software, backend, frontend",False,,3,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-desarrolladora-fullstack-java-y-angular-presencial-en-bogota-dc-B24FB855723507A561373E686DCF3405#lc=ListOffers-Score3-17
2026-02-09T21:06:44.102148,Postulado,principal devops and integration engineer,,"sql, cloud, azure, security, support, software",True,,5,required,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-principal-devops-and-integration-engineer-en-bogota-dc-E503F69F55C999A661373E686DCF3405#lc=ListOffers-Score3-18
2026-02-09T21:06:46.924092,Postulado,Desarrollador React / .Net,,"java, kubernetes, react, software, backend, frontend",True,,7,required,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-react-net-bilingue-en-bogota-dc-C6498C03F1FDCE1561373E686DCF3405#lc=ListOffers-Score3-19
2026-02-09T21:06:54.591020,Postulado,ingeniero bim,,"cloud, software",False,,3,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-bim-en-medellin-E1988C0F385B0A4961373E686DCF3405#lc=ListOffers-Score0-0
2026-02-09T21:06:57.293828,Postulado,Ingeniero de sistemas Soporte SAP B1 / Madrid Cundinamarca,,"support, software",False,,5,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-sistemas-soporte-sap-b1-madrid-cundinamarca-en-madrid-202F90204BC7EF7B61373E686DCF3405#lc=ListOffers-Score0-1
2026-02-09T21:07:00.015968,Postulado,Analista de gestión de bases de datos para personas con y sin discapacidad,,software,False,,,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-gestion-de-bases-de-datos-para-personas-con-y-sin-discapacidad-en-envigado-A606CC4C028B09F161373E686DCF3405#lc=ListOffers-Score0-2
2026-02-09T21:07:02.798172,Se precisa Urgente,Líder de Calidad de Software QA,Empleo destacado,"azure, software",True,,5,required,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-lider-de-calidad-de-software-qa-en-bogota-dc-1D942028D5F15FC561373E686DCF3405#lc=ListOffers-Score0-3
2026-02-09T21:07:05.481575,Postulado,Estudiante de Ingeniería de Sistemas con habilidades comerciales,,software,False,,2,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-estudiante-de-ingenieria-de-sistemas-con-habilidades-comerciales-en-bogota-dc-FAD778D4CA1FB94A61373E686DCF3405#lc=ListOffers-Score0-4
2026-02-09T21:07:08.210857,Postulado,Analista de Requerimientos y Necesidades del Cliente,,software,True,,2,required,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-requerimientos-y-necesidades-del-cliente-en-bogota-dc-55FD0CEEB2218B2B61373E686DCF3405#lc=ListOffers-Score0-5
2026-02-09T21:07:10.940324,Postulado,Ingeniero de Diseño de Producto,,software,False,,2,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-diseno-de-producto-en-la-estrella-5D06A2EF7D9746A961373E686DCF3405#lc=ListOffers-Score0-6
2026-02-09T21:07:13.860650,Empleo destacado,Desarrollador Full Stack/profesional en ingeniería de sistemas/Desarrollador de software/Bogotá,Postulado,"sql, node, software, backend, frontend",False,,3,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-full-stackprofesional-en-ingenieria-de-sistemasdesarrollador-de-softwarebogota-en-bogota-dc-C43D75F9234111B361373E686DCF3405#lc=ListOffers-Score0-7
2026-02-09T21:07:16.649291,Se precisa Urgente,Tecnólogo o Ingeniero Mecánico con experiencia en Autodesk Inventor,Postulado,software,False,,3,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-tecnologo-o-ingeniero-mecanico-con-experiencia-en-autodesk-inventor-mosquera-cundinamarca-en-mosquera-87622FA0748CE15F61373E686DCF3405#lc=ListOffers-Score0-8
2026-02-09T21:07:19.340344,Se precisa Urgente,Practicante en Ingeniería de Sistemas o en Ingeniería en Seguridad Informática,Empleo destacado,software,False,,,required,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-en-ingenieria-de-sistemas-o-en-ingenieria-en-seguridad-informatica-en-bogota-dc-7F0C0FF0F2137DFA61373E686DCF3405#lc=ListOffers-Score0-9
2026-02-09T21:07:22.199523,Postulado,Auxiliar de compras,,software,False,,2,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-compras-en-cali-8291D53B9454CFE761373E686DCF3405#lc=ListOffers-Score0-10
2026-02-09T21:07:25.013659,Postulado,Ingeniero Químico,,software,False,,9,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-quimico-villavicencio-en-villavicencio-B116E42AA00AE69A61373E686DCF3405#lc=ListOffers-Score0-11
2026-02-09T21:07:28.268960,Postulado,Ingeniero de Soporte,,"sql, support, software",False,,2,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-soporte-en-piedecuesta-0865EB62AE59971F61373E686DCF3405#lc=ListOffers-Score0-12
2026-02-09T21:07:30.960658,Se precisa Urgente,Programador cnc,Empleo destacado,software,False,,2,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-programador-cnc-en-tocancipa-A02842C626A3E10461373E686DCF3405#lc=ListOffers-Score0-13
2026-02-09T21:07:35.333376,Postulado,Ingeniero de Sistemas  Soporte e implementación,,"support, software",False,,3,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-sistemas-soporte-e-implementacion-contratacion-inmediata-urgente-en-bogota-dc-2B970663F50AF9FB61373E686DCF3405#lc=ListOffers-Score0-14
2026-02-09T21:07:38.319073,Postulado,"Ingeniero Proyectista, EXP Metalmecánica",,software,False,,3,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-proyectista-exp-metalmecanica-bogota-dc-en-bogota-dc-0D3AA5CC8F3ABE4E61373E686DCF3405#lc=ListOffers-Score0-15
